EnrollmentID,StudentID,CourseID,FinalScore,Pass_Fail,Gender,Age,PriorAttempts,ParentEduLevel,TotalLoginDays,MeanVideoTime,AvgDaysLate,ForumPostsCount,ForumVotesReceived,MidtermScore,CourseCategory,SchoolID
35,30,C301,0,Withdrawn,Male,21,1,1,33,231,2.0,34,39,62,Arts,S3
36,125,C101,85,Pass,Male,44,4,5,19,122,1.4,28,186,60,STEM,S2
37,44,C401,93,Pass,Female,19,3,1,24,184,-4.3,23,128,95,Arts,S1
38,98,C101,15,Withdrawn,Female,43,4,1,33,282,2.4,49,70,92,Business,S1
39,334,C101,10,Withdrawn,Male,33,3,3,62,165,4.5,27,159,81,Business,S3
40,106,C201,11,Withdrawn,Female,18,2,4,61,286,2.7,14,181,42,STEM,S1
41,337,C201,9,Withdrawn,Male,39,0,4,71,69,-4.7,24,175,80,Arts,S3
42,41,C301,49,Fail,Male,38,2,3,71,63,2.0,10,52,81,Arts,S1
43,268,C401,41,Fail,Male,34,2,4,62,139,-0.5,50,50,87,Business,S3
44,326,C401,10,Withdrawn,Female,20,5,3,31,128,4.4,0,178,44,STEM,S2
45,333,C301,23,Withdrawn,Female,37,1,3,34,96,1.7,42,191,57,STEM,S2
46,236,C401,6,Withdrawn,Female,22,0,4,44,241,-1.4,23,17,80,Arts,S1
47,147,C201,77,Pass,Female,24,2,2,39,90,-3.8,48,61,40,STEM,S1
48,62,C301,91,Pass,Female,24,3,2,44,91,-4.0,6,197,74,Business,S1
49,343,C101,9,Withdrawn,Female,38,0,1,61,291,-4.7,3,68,48,Business,S2
50,344,C301,77,Pass,Male,28,3,3,68,97,-4.2,11,167,94,Arts,S1
51,496,C201,25,Withdrawn,Male,32,0,5,18,272,3.8,26,18,44,Arts,S3
52,453,C401,65,Pass,Female,19,1,4,84,276,-0.4,19,186,62,Arts,S2
53,67,C201,10,Withdrawn,Female,38,2,2,17,154,3.6,40,128,86,Arts,S1
54,452,C301,93,Pass,Female,22,1,5,36,268,-4.5,36,183,89,Business,S2
55,422,C201,33,Withdrawn,Male,45,1,3,75,286,-2.0,44,143,87,Business,S3
56,444,C401,2,Withdrawn,Male,26,0,4,88,218,-0.8,34,150,77,Arts,S2
57,153,C301,61,Pass,Male,43,3,3,37,117,-3.0,49,35,40,STEM,S3
58,301,C101,65,Pass,Female,26,2,4,30,250,-0.4,42,25,89,Business,S3
59,46,C201,7,Withdrawn,Female,35,3,1,25,44,-2.6,18,40,55,STEM,S1
60,278,C401,21,Withdrawn,Female,33,3,5,85,166,0.8,10,64,45,Business,S3
61,159,C401,65,Pass,Male,35,1,4,61,183,-4.7,38,156,72,STEM,S1
62,154,C401,68,Pass,Male,38,4,5,85,41,4.9,25,35,68,Business,S3
63,355,C401,22,Withdrawn,Female,25,3,4,13,293,-4.1,15,152,58,Arts,S2
64,206,C401,15,Withdrawn,Male,23,0,5,53,255,2.2,21,187,84,STEM,S3
65,394,C201,53,Fail,Male,18,0,1,54,299,0.7,47,146,42,Business,S1
66,467,C101,8,Withdrawn,Female,26,2,3,13,189,2.5,14,160,53,Arts,S2
67,201,C401,87,Pass,Female,25,0,5,27,205,-3.1,1,9,84,STEM,S3
68,165,C401,19,Withdrawn,Male,39,3,4,68,54,-3.8,39,139,56,STEM,S1
69,198,C101,76,Pass,Male,40,1,2,43,142,2.3,7,191,85,Business,S1
70,59,C301,71,Pass,Male,23,1,4,35,198,-2.1,25,197,87,Business,S3
71,408,C101,0,Withdrawn,Male,31,2,5,65,49,-4.3,11,195,47,Business,S3
72,303,C101,71,Pass,Male,41,4,2,33,68,4.4,7,73,60,STEM,S2
73,107,C201,79,Pass,Female,33,4,2,79,103,-0.7,28,0,91,Business,S2
74,291,C101,46,Fail,Female,23,0,1,83,152,4.3,35,70,86,STEM,S3
75,7,C401,78,Pass,Male,33,4,5,24,231,3.1,29,3,61,Business,S2
76,355,C101,83,Pass,Female,45,4,3,49,160,-1.7,40,76,55,Arts,S2
77,303,C201,63,Pass,Female,40,0,3,21,265,-1.5,22,167,52,STEM,S2
78,492,C301,61,Pass,Female,42,1,3,25,45,2.2,33,57,86,Arts,S1
79,409,C301,99,Pass,Male,22,4,3,37,149,4.8,33,49,54,STEM,S1
80,47,C401,91,Pass,Male,26,0,2,23,133,0.7,12,28,93,Business,S1
81,500,C101,39,Withdrawn,Male,22,2,2,23,69,0.1,35,107,65,STEM,S3
82,139,C201,38,Withdrawn,Male,35,4,4,34,165,-2.5,7,42,51,Business,S3
83,479,C401,75,Pass,Female,36,5,2,82,252,0.1,18,123,61,Business,S2
84,427,C101,9,Withdrawn,Male,44,0,3,28,217,1.3,20,52,88,Arts,S2
85,347,C301,76,Pass,Female,25,5,4,86,244,2.1,36,13,84,STEM,S3
86,419,C201,86,Pass,Female,42,1,4,33,215,-1.8,35,89,70,STEM,S1
87,63,C101,3,Withdrawn,Female,30,4,1,17,128,2.9,14,150,59,Business,S3
88,26,C101,55,Fail,Male,36,5,1,73,233,2.4,25,20,78,Arts,S3
89,457,C201,98,Pass,Female,44,0,4,65,147,0.2,12,195,90,STEM,S3
90,230,C101,82,Pass,Male,37,3,5,84,208,-4.3,49,94,95,Arts,S1
91,316,C201,75,Pass,Female,24,2,5,27,176,-4.9,21,176,87,Arts,S1
92,428,C101,38,Withdrawn,Male,42,2,2,36,196,0.4,29,160,79,STEM,S3
93,390,C401,61,Pass,Male,33,2,5,57,157,1.0,49,102,64,STEM,S3
94,487,C201,36,Withdrawn,Female,42,1,2,57,262,4.6,4,114,93,STEM,S1
95,200,C401,68,Pass,Male,28,0,2,77,229,3.3,46,74,67,STEM,S3
96,287,C101,3,Withdrawn,Female,21,0,5,70,241,-2.9,4,187,48,STEM,S3
97,232,C401,66,Pass,Male,19,0,5,71,149,-4.1,10,146,84,Business,S2
98,140,C201,25,Withdrawn,Female,42,2,1,74,249,0.5,34,13,72,Arts,S3
99,242,C101,58,Fail,Female,24,5,4,64,255,-1.5,24,164,91,Business,S3
100,324,C101,15,Withdrawn,Male,27,4,5,72,177,-0.9,34,72,87,Arts,S1
101,194,C101,75,Pass,Female,25,4,2,35,88,-2.4,6,139,45,Arts,S3
102,455,C201,63,Pass,Male,20,3,3,51,69,-1.8,7,172,82,Business,S1
103,206,C301,46,Fail,Male,42,2,3,23,283,0.4,9,60,85,Arts,S1
104,51,C301,28,Withdrawn,Female,34,1,4,84,134,3.4,7,15,63,Business,S1
105,56,C201,79,Pass,Male,45,1,5,70,238,3.9,37,83,67,Business,S2
106,356,C101,73,Pass,Male,41,3,4,42,205,1.0,13,56,90,Arts,S3
107,295,C301,87,Pass,Female,41,2,4,90,44,-4.8,6,199,82,Business,S1
108,192,C101,34,Withdrawn,Female,35,3,4,90,107,-0.1,36,74,56,Business,S2
109,53,C201,76,Pass,Female,34,2,5,83,297,-4.9,16,34,59,Business,S2
110,488,C101,68,Pass,Female,31,3,3,27,201,-4.1,24,87,92,STEM,S1
111,408,C101,29,Withdrawn,Male,30,4,4,37,193,-4.9,37,184,72,Business,S3
112,84,C101,70,Pass,Male,35,1,4,62,126,0.6,15,172,41,Business,S2
113,90,C401,21,Withdrawn,Male,44,4,4,49,46,2.0,42,100,64,Arts,S1
114,116,C201,46,Fail,Male,44,3,2,77,275,4.9,36,121,95,STEM,S3
115,458,C201,46,Fail,Male,31,0,3,87,140,1.9,33,63,53,STEM,S3
116,285,C401,23,Withdrawn,Female,40,1,2,39,155,-1.3,28,196,89,Business,S1
117,408,C301,70,Pass,Male,43,2,3,41,298,-0.2,44,195,91,Business,S3
118,102,C401,86,Pass,Male,35,0,5,58,164,1.6,16,57,60,Arts,S1
119,152,C401,87,Pass,Male,44,0,2,62,105,-3.2,32,41,81,STEM,S2
120,193,C401,30,Withdrawn,Male,24,3,2,54,186,-3.8,36,108,57,Business,S2
121,85,C101,71,Pass,Female,37,2,2,83,283,-5.0,32,44,71,Arts,S2
122,81,C401,97,Pass,Female,26,4,4,16,285,1.6,11,36,53,Arts,S3
123,391,C301,87,Pass,Male,37,5,3,56,224,-1.0,22,51,45,Business,S1
124,253,C301,91,Pass,Male,43,4,1,71,182,2.6,37,30,72,Business,S3
125,58,C301,44,Fail,Female,19,4,3,12,287,-0.8,1,53,42,Arts,S3
126,54,C301,12,Withdrawn,Male,38,0,4,56,116,-4.1,15,88,45,Business,S2
127,237,C201,75,Pass,Female,37,1,2,70,228,-2.0,31,171,92,Arts,S1
128,357,C101,24,Withdrawn,Male,18,2,3,44,171,-0.8,20,47,85,STEM,S3
129,352,C201,35,Withdrawn,Male,20,0,5,40,41,-2.9,17,127,90,Business,S1
130,252,C201,95,Pass,Male,30,5,4,86,77,4.5,19,131,80,STEM,S3
131,452,C101,1,Withdrawn,Male,28,5,2,63,99,-3.2,40,177,66,Arts,S3
132,488,C401,70,Pass,Male,22,3,2,44,224,3.7,9,109,90,Business,S3
133,238,C401,17,Withdrawn,Female,34,0,1,20,300,-0.5,30,52,90,Arts,S2
134,99,C301,82,Pass,Female,19,2,3,72,248,-1.0,43,99,49,Business,S2
135,334,C101,98,Pass,Male,25,0,1,17,46,2.7,5,164,52,Business,S1
136,294,C101,19,Withdrawn,Male,24,1,2,67,68,-1.1,7,125,88,Arts,S3
137,305,C401,37,Withdrawn,Female,42,4,3,90,170,-0.3,33,36,92,STEM,S3
138,487,C301,67,Pass,Male,36,1,3,20,200,1.8,11,145,59,Arts,S2
139,497,C101,11,Withdrawn,Male,39,1,2,53,259,3.9,12,198,84,STEM,S3
140,271,C401,22,Withdrawn,Female,32,0,2,81,100,-0.0,10,164,81,Business,S3
141,349,C201,83,Pass,Female,24,2,5,51,244,-1.6,39,54,94,Arts,S1
142,278,C101,4,Withdrawn,Male,32,2,1,19,94,-3.3,31,174,55,Business,S2
143,342,C101,86,Pass,Male,26,0,1,86,108,3.6,50,84,92,Arts,S1
144,473,C201,39,Withdrawn,Male,30,5,2,48,87,-2.3,26,115,56,Arts,S2
145,45,C301,1,Withdrawn,Male,23,2,1,24,150,-4.1,17,83,83,Arts,S1
146,120,C101,55,Fail,Female,25,0,4,42,217,-0.5,38,12,79,Business,S1
147,355,C301,80,Pass,Female,26,4,4,23,208,3.6,9,162,66,STEM,S3
148,233,C201,98,Pass,Male,33,2,3,32,111,-4.2,45,89,51,Business,S3
149,163,C201,23,Withdrawn,Female,34,5,4,12,123,-0.4,34,1,53,STEM,S3
150,217,C301,53,Fail,Male,19,4,3,40,160,-3.9,37,165,45,Business,S1
151,164,C401,49,Fail,Female,45,3,3,16,186,-4.6,15,161,93,Arts,S2
152,236,C201,21,Withdrawn,Female,23,4,1,40,259,3.9,17,187,64,STEM,S3
153,342,C301,51,Fail,Female,31,0,3,69,296,-2.1,48,188,51,STEM,S2
154,410,C201,79,Pass,Male,25,1,3,73,77,2.3,46,179,88,Arts,S2
155,89,C301,48,Fail,Male,33,3,5,64,208,-0.4,33,118,73,Business,S2
156,211,C301,30,Withdrawn,Female,43,0,4,17,135,-2.2,49,132,63,Business,S1
157,101,C101,29,Withdrawn,Female,39,1,2,65,171,-0.2,41,160,80,STEM,S1
158,217,C401,71,Pass,Female,26,3,2,61,80,2.1,16,104,89,Arts,S3
159,322,C301,75,Pass,Male,28,4,2,32,207,-2.6,32,98,64,Arts,S3
160,81,C401,7,Withdrawn,Female,35,2,5,37,270,3.0,33,62,46,STEM,S3
161,426,C401,60,Pass,Male,32,0,4,87,36,0.6,23,62,64,STEM,S2
162,41,C301,55,Fail,Male,18,2,3,57,147,3.3,48,132,84,STEM,S1
163,203,C301,94,Pass,Male,42,1,2,26,135,0.3,15,50,41,Arts,S1
164,47,C401,39,Withdrawn,Female,43,4,3,25,282,-4.3,31,164,57,STEM,S1
165,474,C201,83,Pass,Male,24,2,3,17,255,-3.2,36,180,52,STEM,S2
166,324,C301,96,Pass,Male,44,0,4,51,44,-2.9,34,171,72,Business,S2
167,218,C101,29,Withdrawn,Female,38,4,1,33,191,-3.7,20,5,91,Business,S2
168,194,C301,63,Pass,Female,32,0,5,18,297,1.9,4,3,44,STEM,S3
169,175,C401,65,Pass,Male,40,0,1,20,131,3.1,5,139,94,Arts,S1
170,274,C101,75,Pass,Male,44,2,2,85,262,3.2,37,116,58,STEM,S1
171,171,C301,16,Withdrawn,Female,37,4,4,82,79,-4.5,14,67,75,Arts,S2
172,120,C101,76,Pass,Male,39,3,2,84,274,-3.2,20,128,45,Business,S2
173,221,C401,31,Withdrawn,Male,33,4,1,52,250,4.1,4,37,57,Business,S3
174,321,C101,87,Pass,Male,24,4,5,55,76,-1.5,46,38,53,STEM,S3
175,171,C401,81,Pass,Male,19,2,5,44,258,-4.0,47,154,71,Business,S3
176,397,C201,87,Pass,Female,24,2,2,78,103,3.2,8,109,89,STEM,S1
177,455,C101,84,Pass,Male,20,4,5,33,87,-0.5,47,12,53,Arts,S1
178,183,C201,2,Withdrawn,Male,18,2,3,29,233,-3.9,31,124,85,STEM,S1
179,248,C101,70,Pass,Male,22,4,1,81,159,-0.2,44,41,87,Business,S2
180,61,C301,34,Withdrawn,Female,44,5,2,13,56,0.0,24,32,84,Business,S3
181,415,C401,47,Fail,Female,44,2,2,50,285,2.4,19,28,89,Business,S2
182,17,C201,43,Fail,Female,23,0,3,53,51,2.0,38,187,40,Arts,S3
183,357,C301,92,Pass,Female,22,3,5,72,111,-1.0,2,71,84,Arts,S3
184,75,C401,12,Withdrawn,Female,23,0,2,26,119,5.0,18,122,82,STEM,S2
185,78,C301,69,Pass,Female,20,3,2,72,150,1.4,41,71,59,Business,S2
186,360,C101,53,Fail,Female,26,0,3,20,113,-0.1,31,179,76,Arts,S2
187,117,C401,39,Withdrawn,Male,45,0,4,42,287,4.4,22,69,74,STEM,S2
188,246,C301,51,Fail,Male,33,2,3,78,142,-1.8,32,14,89,Arts,S1
189,5,C101,19,Withdrawn,Male,27,0,4,35,263,-4.3,30,104,75,STEM,S2
190,150,C101,21,Withdrawn,Male,29,1,5,38,50,-3.9,16,163,43,STEM,S3
191,66,C301,84,Pass,Male,41,0,4,47,185,2.0,20,139,93,Arts,S2
192,466,C401,46,Fail,Female,29,2,2,47,99,-1.8,44,169,66,STEM,S2
193,145,C101,53,Fail,Male,43,3,2,79,49,-0.8,42,28,91,Business,S2
194,51,C301,43,Fail,Male,39,1,4,13,124,-4.6,42,162,78,STEM,S3
195,268,C101,4,Withdrawn,Male,31,5,4,29,65,2.5,4,121,42,STEM,S3
196,430,C301,7,Withdrawn,Female,33,0,5,43,271,4.6,19,34,71,Business,S3
197,370,C201,75,Pass,Female,20,3,3,44,122,-4.1,30,27,46,STEM,S2
198,407,C401,14,Withdrawn,Female,26,5,5,60,151,-4.9,45,24,66,STEM,S1
199,403,C301,81,Pass,Male,19,5,1,81,36,0.6,1,80,59,STEM,S3
200,215,C401,15,Withdrawn,Female,28,5,5,86,130,0.8,7,193,45,STEM,S1
201,346,C401,8,Withdrawn,Female,23,3,3,83,300,-4.2,4,17,42,Arts,S1
202,317,C201,56,Fail,Male,31,1,1,56,103,1.7,24,149,60,Business,S2
203,16,C101,57,Fail,Female,45,4,4,60,153,-1.8,8,185,71,Business,S1
204,10,C201,33,Withdrawn,Female,42,0,5,65,107,1.4,30,16,52,Business,S2
205,192,C301,47,Fail,Female,44,4,1,82,103,-0.8,9,170,88,STEM,S2
206,306,C101,7,Withdrawn,Female,45,2,5,28,285,-0.6,4,108,50,STEM,S1
207,152,C201,25,Withdrawn,Male,25,4,2,81,272,-3.5,42,113,74,Arts,S2
208,203,C401,53,Fail,Male,23,4,2,49,251,1.1,17,105,54,Business,S1
209,427,C201,12,Withdrawn,Female,29,1,5,66,249,4.5,26,121,52,STEM,S3
210,323,C301,22,Withdrawn,Male,26,2,5,17,240,-3.0,41,182,78,STEM,S2
211,393,C401,27,Withdrawn,Male,39,0,2,64,271,3.1,18,105,89,STEM,S3
212,429,C301,79,Pass,Male,36,4,4,70,212,-3.6,5,152,79,Arts,S3
213,479,C201,48,Fail,Female,38,1,2,46,147,1.6,25,149,85,Arts,S2
214,222,C401,15,Withdrawn,Female,34,3,3,14,81,-4.2,22,54,80,STEM,S2
215,351,C101,80,Pass,Female,21,2,2,16,140,0.5,25,27,91,STEM,S2
216,17,C401,28,Withdrawn,Male,22,1,3,36,212,4.9,50,164,44,STEM,S3
217,183,C201,23,Withdrawn,Female,18,1,5,78,136,4.2,21,162,95,Arts,S3
218,397,C401,26,Withdrawn,Female,31,2,5,36,298,5.0,13,180,73,Arts,S2
219,389,C401,43,Fail,Female,36,3,2,46,224,-1.4,19,197,50,Business,S3
220,439,C101,36,Withdrawn,Female,36,0,5,79,227,-4.9,16,109,50,Arts,S3
221,119,C201,8,Withdrawn,Female,42,3,1,31,111,-2.3,11,180,52,Arts,S3
222,89,C401,63,Pass,Female,35,4,3,84,234,4.4,32,188,76,STEM,S3
223,227,C201,2,Withdrawn,Male,45,1,5,62,220,3.1,27,152,45,Business,S1
224,8,C301,94,Pass,Male,34,3,2,58,113,3.2,18,167,48,Arts,S2
225,463,C101,44,Fail,Male,38,4,5,46,47,-4.8,48,71,41,Business,S3
226,286,C401,79,Pass,Female,38,2,3,39,233,1.0,18,105,56,Arts,S2
227,430,C101,43,Fail,Male,24,5,4,45,166,-2.4,27,42,54,Arts,S1
228,248,C101,41,Fail,Male,21,0,3,30,137,-0.2,7,40,64,Business,S2
229,399,C401,33,Withdrawn,Female,19,0,4,22,107,-1.4,28,117,60,Business,S2
230,189,C301,94,Pass,Male,30,3,3,13,173,4.5,46,10,70,STEM,S2
231,101,C401,0,Withdrawn,Male,39,0,3,58,183,-3.0,29,141,68,Business,S3
232,125,C301,94,Pass,Female,35,2,4,13,118,2.6,32,118,43,Arts,S1
233,498,C101,91,Pass,Male,45,0,4,37,238,-3.2,21,138,90,STEM,S3
234,34,C401,75,Pass,Male,44,4,3,61,221,-0.9,39,105,64,STEM,S3
235,38,C301,33,Withdrawn,Male,37,2,1,41,100,1.3,4,155,50,Business,S1
236,357,C401,35,Withdrawn,Female,22,0,3,34,277,-4.2,16,118,67,Business,S2
237,88,C401,14,Withdrawn,Male,31,1,1,66,70,3.7,35,162,82,Business,S1
238,82,C101,26,Withdrawn,Female,27,4,4,40,194,-1.0,29,183,59,Arts,S3
239,451,C401,12,Withdrawn,Male,34,5,2,74,106,-3.2,10,176,71,Business,S2
240,355,C201,3,Withdrawn,Male,41,4,3,81,218,-2.7,3,47,71,STEM,S3
241,262,C301,69,Pass,Male,32,2,5,14,165,-4.7,38,197,93,STEM,S1
242,401,C401,3,Withdrawn,Male,42,1,1,86,118,1.9,7,123,53,STEM,S1
243,273,C301,31,Withdrawn,Female,22,2,2,76,130,-0.3,47,127,60,STEM,S2
244,62,C401,24,Withdrawn,Male,35,3,1,20,71,-0.3,16,129,47,Arts,S3
245,211,C301,100,Pass,Male,37,3,5,28,163,4.8,37,13,57,Business,S3
246,416,C201,0,Withdrawn,Male,31,2,3,65,112,2.5,41,81,90,STEM,S1
247,122,C301,1,Withdrawn,Female,34,5,1,80,236,-2.4,5,155,86,Business,S1
248,492,C401,60,Pass,Female,30,0,1,52,189,2.7,22,33,95,STEM,S3
249,64,C401,75,Pass,Male,43,4,5,15,228,-4.8,25,155,93,STEM,S1
250,259,C101,5,Withdrawn,Male,43,0,2,80,92,-4.3,22,56,50,Arts,S3
251,100,C401,39,Withdrawn,Male,35,1,1,27,156,3.1,40,6,44,STEM,S2
252,232,C201,8,Withdrawn,Female,19,2,1,12,38,0.4,16,71,65,STEM,S1
253,381,C201,34,Withdrawn,Female,23,3,2,52,45,-0.9,23,82,78,Business,S3
254,270,C401,30,Withdrawn,Female,32,0,5,35,31,-3.3,26,96,86,Arts,S2
255,105,C101,13,Withdrawn,Male,35,2,5,20,291,-1.0,3,94,59,Business,S3
256,92,C201,56,Fail,Male,30,1,2,33,185,3.4,40,75,51,Business,S2
257,123,C201,55,Fail,Female,20,0,5,90,298,-4.7,9,97,95,STEM,S2
258,140,C101,90,Pass,Female,27,3,4,12,108,-1.1,28,111,83,STEM,S2
259,170,C401,36,Withdrawn,Male,18,2,2,55,295,-3.6,34,199,83,Arts,S3
260,298,C401,38,Withdrawn,Male,19,3,3,87,227,4.4,22,148,59,Arts,S2
261,110,C101,29,Withdrawn,Male,42,1,4,25,136,2.3,5,92,95,Business,S1
262,142,C301,93,Pass,Male,31,0,3,39,102,-4.3,3,2,53,STEM,S2
263,357,C101,61,Pass,Male,30,5,1,12,56,-0.2,34,48,54,Business,S3
264,393,C101,12,Withdrawn,Female,31,1,4,51,33,0.6,14,145,71,STEM,S3
265,491,C101,38,Withdrawn,Male,30,1,1,61,293,-1.5,8,62,45,STEM,S3
266,418,C301,25,Withdrawn,Female,39,1,2,71,114,0.6,2,10,75,STEM,S2
267,292,C301,29,Withdrawn,Female,23,1,2,36,94,3.9,41,30,60,Business,S1
268,13,C301,19,Withdrawn,Male,19,5,1,90,138,-1.7,39,93,61,Business,S2
269,230,C101,64,Pass,Male,30,5,2,56,225,2.8,44,58,44,Arts,S3
270,106,C301,50,Fail,Female,31,0,3,49,34,-2.0,14,151,93,STEM,S3
271,468,C301,64,Pass,Male,27,5,4,54,207,-0.3,30,158,56,Business,S1
272,298,C101,70,Pass,Male,18,5,3,69,258,1.7,9,107,90,Arts,S2
273,216,C301,92,Pass,Female,35,4,3,57,245,0.9,21,173,46,Business,S2
274,395,C401,64,Pass,Male,26,5,5,59,200,-0.0,23,141,95,STEM,S2
275,352,C201,62,Pass,Male,18,1,5,31,299,-0.6,47,23,48,Business,S3
276,15,C101,33,Withdrawn,Male,36,3,3,89,248,4.1,5,106,68,Business,S2
277,145,C101,97,Pass,Male,23,0,1,22,41,0.7,36,11,65,Business,S3
278,266,C401,89,Pass,Male,32,3,4,81,295,-4.5,41,127,52,STEM,S3
279,496,C301,2,Withdrawn,Female,21,5,4,22,155,2.2,3,93,55,STEM,S3
280,66,C301,42,Fail,Male,25,2,3,40,71,3.1,46,172,85,Arts,S2
281,308,C301,11,Withdrawn,Female,31,2,3,54,203,1.2,31,87,91,STEM,S3
282,164,C201,76,Pass,Female,25,5,5,83,124,-1.2,50,140,52,STEM,S3
283,442,C301,10,Withdrawn,Female,19,1,1,80,199,-1.1,29,33,46,STEM,S3
284,249,C301,74,Pass,Male,30,4,5,12,107,-3.4,12,158,51,Business,S1
285,390,C201,97,Pass,Male,29,5,2,90,107,0.9,41,39,76,Arts,S1
286,147,C101,32,Withdrawn,Female,36,1,5,56,251,1.3,47,65,40,Business,S3
287,226,C301,70,Pass,Male,18,1,2,44,133,-3.3,21,67,90,STEM,S3
288,454,C301,20,Withdrawn,Male,29,5,2,85,134,1.1,11,15,45,STEM,S1
289,135,C401,33,Withdrawn,Female,36,0,5,43,110,-0.5,24,107,81,STEM,S3
290,428,C101,16,Withdrawn,Male,37,1,2,51,89,0.7,28,98,58,Business,S2
291,242,C401,56,Fail,Female,24,0,2,18,298,-1.1,25,75,48,Arts,S2
292,317,C101,3,Withdrawn,Female,36,5,5,50,166,-3.7,32,49,68,Business,S1
293,283,C301,22,Withdrawn,Female,31,0,5,23,179,4.2,17,196,48,Business,S2
294,462,C401,84,Pass,Male,26,1,1,36,296,2.1,23,49,40,STEM,S2
295,22,C201,81,Pass,Male,30,5,2,64,175,2.6,36,187,58,STEM,S1
296,20,C201,51,Fail,Male,35,5,5,73,264,1.9,18,105,44,Arts,S2
297,441,C101,42,Fail,Male,45,0,1,77,87,-3.8,38,187,46,Arts,S1
298,186,C201,96,Pass,Female,32,1,4,14,149,-3.9,12,147,77,Arts,S2
299,223,C201,52,Fail,Male,42,5,4,13,80,3.1,24,112,58,STEM,S1
300,398,C301,22,Withdrawn,Male,41,1,3,13,212,3.2,14,151,44,STEM,S2
301,454,C201,25,Withdrawn,Female,27,2,1,29,185,-3.3,9,38,63,STEM,S2
302,370,C301,16,Withdrawn,Male,20,4,1,29,131,0.6,25,130,87,Business,S1
303,324,C201,6,Withdrawn,Female,41,1,5,77,215,-2.8,23,90,92,STEM,S2
304,255,C401,28,Withdrawn,Female,41,0,1,58,271,4.9,16,79,67,Arts,S1
305,364,C101,27,Withdrawn,Male,36,3,5,72,85,-3.9,34,7,61,Business,S2
306,310,C101,1,Withdrawn,Female,22,5,5,47,177,4.6,32,50,90,Business,S2
307,200,C101,25,Withdrawn,Male,39,4,1,21,247,-1.6,31,94,55,STEM,S3
308,195,C201,41,Fail,Female,19,5,2,74,73,-1.9,7,30,72,Arts,S3
