EnrollmentID,StudentID,WeekNum,WeeklyLoginCount,WeeklyClickTotal,WeeklyVideoViews,WeeklyForumPosts,CumulativeAssignmentScore
10,288,9,7,205,8,5,79
10,288,10,11,180,4,0,91
10,288,11,7,141,19,0,105
10,288,12,7,195,0,5,114
10,288,13,11,166,17,1,125
10,288,14,9,263,19,4,139
10,288,15,7,142,5,1,151
11,439,1,8,257,1,3,13
11,439,2,4,180,20,0,25
11,439,3,11,175,10,0,39
11,439,4,7,135,20,1,53
11,439,5,8,268,3,2,65
11,439,6,9,193,17,2,72
11,439,7,7,198,2,2,84
11,439,8,8,126,10,0,92
11,439,9,8,93,1,5,102
11,439,10,6,286,0,0,108
11,439,11,12,164,15,3,120
11,439,12,11,177,12,0,128
11,439,13,9,132,2,5,142
11,439,14,10,194,14,2,156
11,439,15,7,160,11,4,163
12,390,1,9,184,17,4,14
12,390,2,10,134,16,2,25
12,390,3,9,149,0,2,31
12,390,4,8,112,6,2,45
12,390,5,8,100,13,1,50
12,390,6,10,136,5,5,57
12,390,7,3,163,1,4,69
12,390,8,6,217,0,4,76
12,390,9,9,86,20,5,83
12,390,10,10,199,3,5,94
12,390,11,7,91,16,0,106
12,390,12,11,173,17,5,118
12,390,13,6,237,0,4,130
12,390,14,9,152,5,3,143
12,390,15,10,236,8,2,149
13,126,1,9,267,18,2,14
13,126,2,9,237,19,0,26
13,126,3,8,149,20,4,40
13,126,4,8,175,15,5,50
13,126,5,7,274,3,1,62
13,126,6,12,153,19,4,73
13,126,7,11,168,12,2,79
13,126,8,8,179,10,3,88
13,126,9,5,230,2,5,93
13,126,10,12,252,20,5,103
13,126,11,11,147,20,3,116
13,126,12,9,180,17,4,128
13,126,13,7,217,14,2,141
13,126,14,7,261,0,2,153
13,126,15,12,197,12,1,164
14,93,1,8,203,1,1,12
14,93,2,5,138,9,4,21
14,93,3,6,252,17,4,32
14,93,4,10,209,19,2,37
14,93,5,5,146,19,5,45
14,93,6,9,43,9,0,50
14,93,7,8,123,18,2,61
14,93,8,7,166,5,0,68
14,93,9,4,165,8,4,82
14,93,10,2,89,6,5,95
14,93,11,6,209,16,2,104
14,93,12,10,130,5,2,110
14,93,13,6,171,19,5,120
14,93,14,7,129,0,0,133
14,93,15,6,206,11,1,140
15,444,1,9,115,19,5,14
15,444,2,11,175,7,2,28
15,444,3,5,92,4,3,37
15,444,4,8,121,7,2,48
15,444,5,5,206,11,0,53
15,444,6,10,197,11,2,67
15,444,7,7,113,1,4,81
15,444,8,6,225,19,5,94
15,444,9,9,43,12,2,99
15,444,10,5,70,20,0,108
15,444,11,7,162,16,0,121
15,444,12,7,210,3,4,131
15,444,13,6,194,19,5,136
15,444,14,5,135,12,4,143
15,444,15,9,188,4,3,148
16,198,1,13,258,17,2,7
16,198,2,7,131,4,1,16
16,198,3,11,143,19,4,27
16,198,4,9,145,11,1,38
16,198,5,8,208,14,1,47
16,198,6,11,110,13,0,55
16,198,7,8,164,3,0,65
16,198,8,7,221,5,4,77
16,198,9,6,254,11,0,89
16,198,10,8,131,8,0,101
16,198,11,9,243,3,3,113
16,198,12,12,238,14,1,126
16,198,13,9,188,2,1,133
16,198,14,9,145,15,5,141
16,198,15,11,283,1,5,150
17,356,1,9,191,2,4,6
17,356,2,6,234,4,1,18
17,356,3,11,213,14,4,27
17,356,4,10,146,19,3,32
17,356,5,8,239,11,5,38
17,356,6,9,222,9,2,48
17,356,7,7,255,8,5,56
17,356,8,7,198,17,4,64
17,356,9,12,171,0,2,72
17,356,10,11,188,2,2,80
17,356,11,7,108,13,3,89
17,356,12,7,262,15,2,103
17,356,13,7,224,19,5,109
17,356,14,9,223,0,2,123
17,356,15,10,131,3,1,133
18,237,1,9,217,3,5,11
18,237,2,9,254,14,2,18
18,237,3,10,249,19,3,25
18,237,4,9,164,16,4,34
18,237,5,14,216,15,2,41
18,237,6,14,195,19,3,53
18,237,7,14,191,20,5,59
18,237,8,13,263,16,3,68
18,237,9,11,238,1,2,81
18,237,10,9,287,13,2,87
18,237,11,9,242,17,0,92
18,237,12,11,162,11,3,99
18,237,13,12,160,9,4,113
18,237,14,11,172,16,4,118
18,237,15,13,226,4,1,128
19,232,1,4,168,13,5,5
19,232,2,8,153,17,2,17
19,232,3,8,129,3,2,29
19,232,4,8,65,5,2,35
19,232,5,4,70,3,4,40
19,232,6,7,129,12,1,49
19,232,7,4,82,0,2,61
19,232,8,8,111,17,1,69
19,232,9,5,48,2,1,75
19,232,10,4,203,11,5,84
19,232,11,2,28,10,5,91
19,232,12,4,170,2,0,99
19,232,13,4,170,18,2,112
19,232,14,8,121,4,5,126
19,232,15,2,127,19,4,140
20,14,1,9,280,16,2,6
20,14,2,13,195,20,5,20
20,14,3,8,247,6,5,32
20,14,4,8,211,14,0,37
20,14,5,12,155,18,1,51
20,14,6,9,141,11,4,63
20,14,7,11,293,11,0,73
20,14,8,10,259,1,2,86
20,14,9,12,282,1,1,98
20,14,10,12,144,2,3,110
20,14,11,9,180,14,2,120
20,14,12,10,259,7,4,130
20,14,13,10,219,6,3,138
20,14,14,13,187,10,3,149
20,14,15,11,226,7,0,158
21,306,1,7,248,13,2,10
21,306,2,10,188,15,1,20
21,306,3,8,239,6,3,29
21,306,4,9,224,13,2,39
21,306,5,9,192,16,0,44
21,306,6,10,158,18,2,49
21,306,7,11,131,1,3,60
21,306,8,9,252,2,3,73
21,306,9,9,213,7,1,79
21,306,10,7,245,15,5,90
21,306,11,6,145,4,4,100
21,306,12,10,141,5,2,105
21,306,13,12,148,16,1,111
21,306,14,9,241,0,2,117
21,306,15,11,205,1,2,130
22,199,1,7,132,7,3,10
22,199,2,4,180,11,1,22
22,199,3,10,138,4,5,28
22,199,4,6,139,17,2,36
22,199,5,7,173,4,1,42
22,199,6,10,154,3,0,56
22,199,7,7,212,18,5,69
22,199,8,9,236,8,0,82
22,199,9,11,165,20,2,89
22,199,10,11,151,7,4,102
22,199,11,8,147,3,4,109
22,199,12,7,144,19,4,117
22,199,13,7,152,6,3,128
22,199,14,11,113,18,5,133
22,199,15,11,209,6,4,145
23,219,1,8,251,1,1,9
23,219,2,12,168,7,4,16
23,219,3,12,171,9,3,21
23,219,4,5,159,0,3,26
23,219,5,9,172,14,4,40
23,219,6,8,257,17,2,48
23,219,7,7,191,20,1,55
23,219,8,9,212,13,4,62
23,219,9,8,135,14,5,73
23,219,10,12,140,3,0,84
23,219,11,12,239,17,0,91
23,219,12,8,140,3,2,104
23,219,13,8,185,14,2,111
23,219,14,9,197,14,0,118
23,219,15,11,216,20,4,129
24,43,1,10,190,19,5,13
24,43,2,9,117,14,3,25
24,43,3,9,208,9,1,33
24,43,4,6,155,13,5,38
24,43,5,7,201,7,0,44
24,43,6,7,154,13,4,57
24,43,7,8,167,12,3,67
24,43,8,11,212,13,1,72
24,43,9,6,180,7,5,78
24,43,10,9,206,7,5,84
24,43,11,6,121,9,3,92
24,43,12,6,178,2,5,100
24,43,13,11,97,20,0,107
24,43,14,10,217,1,3,113
24,43,15,10,114,0,1,118
25,46,1,7,66,6,0,7
25,46,2,8,202,16,5,13
25,46,3,8,79,0,0,22
25,46,4,9,170,16,5,31
25,46,5,6,49,20,0,44
25,46,6,6,134,5,5,56
25,46,7,7,146,4,0,61
25,46,8,9,164,12,4,71
25,46,9,5,154,6,5,77
25,46,10,10,71,1,1,91
25,46,11,8,101,17,0,96
25,46,12,3,180,15,2,106
25,46,13,2,61,20,0,114
25,46,14,9,110,1,4,126
25,46,15,6,210,13,5,138
26,76,1,7,128,0,1,14
26,76,2,5,148,16,0,21
26,76,3,5,121,4,5,31
26,76,4,10,115,11,1,36
26,76,5,8,75,17,0,47
26,76,6,6,155,3,0,58
26,76,7,10,219,16,5,68
26,76,8,9,142,12,2,79
26,76,9,2,41,6,2,87
26,76,10,3,92,13,4,92
26,76,11,10,210,17,3,102
26,76,12,11,107,18,0,114
26,76,13,7,220,17,5,124
26,76,14,5,215,2,1,130
26,76,15,4,130,19,5,140
27,406,1,7,137,16,3,14
27,406,2,7,192,15,0,20
27,406,3,7,281,5,1,25
27,406,4,13,211,4,0,35
27,406,5,12,220,20,0,42
27,406,6,12,200,15,2,47
27,406,7,11,259,0,2,58
27,406,8,7,240,15,4,63
27,406,9,10,284,20,1,74
27,406,10,7,119,5,3,83
27,406,11,11,261,7,0,88
27,406,12,9,229,19,1,101
27,406,13,9,267,2,5,108
27,406,14,8,194,2,4,118
27,406,15,7,232,12,1,132
28,357,1,9,199,10,2,10
28,357,2,11,237,4,0,15
28,357,3,10,243,16,0,26
28,357,4,10,285,12,0,38
28,357,5,11,183,15,2,50
28,357,6,13,293,2,2,55
28,357,7,11,128,0,0,69
28,357,8,7,228,3,2,77
28,357,9,12,202,2,4,90
28,357,10,10,178,0,4,95
28,357,11,11,164,19,3,101
28,357,12,13,145,13,5,107
28,357,13,6,175,3,1,113
28,357,14,12,313,7,3,119
28,357,15,6,170,15,4,125
29,84,1,6,149,15,3,12
29,84,2,5,198,8,4,25
29,84,3,5,108,2,5,34
29,84,4,8,204,13,4,40
29,84,5,7,156,9,0,53
29,84,6,5,161,3,2,66
29,84,7,5,161,5,5,76
29,84,8,6,209,20,1,87
29,84,9,9,191,14,1,97
29,84,10,7,200,0,4,106
29,84,11,6,148,4,3,112
29,84,12,11,125,18,0,126
29,84,13,10,187,17,0,139
29,84,14,7,158,12,3,144
29,84,15,9,213,16,2,157
30,145,1,9,84,0,0,13
30,145,2,5,212,10,0,19
30,145,3,7,192,11,2,33
30,145,4,8,226,17,1,47
30,145,5,6,55,15,2,55
30,145,6,9,175,14,0,65
30,145,7,8,105,7,0,78
30,145,8,3,123,9,1,83
30,145,9,6,236,8,3,90
30,145,10,4,209,12,2,96
30,145,11,8,64,8,0,109
30,145,12,9,107,14,0,123
30,145,13,10,167,3,1,137
30,145,14,6,150,17,0,147
30,145,15,7,196,6,2,156
31,397,1,11,213,17,3,12
31,397,2,7,148,20,2,25
31,397,3,9,126,5,5,30
31,397,4,7,203,9,0,40
31,397,5,7,210,19,0,46
31,397,6,8,171,9,2,60
31,397,7,6,229,3,0,66
31,397,8,5,117,14,5,78
31,397,9,9,118,20,0,86
31,397,10,9,120,19,5,100
31,397,11,5,147,12,5,108
31,397,12,7,168,0,4,120
31,397,13,8,136,8,2,128
31,397,14,7,261,6,5,134
31,397,15,6,248,11,0,139
32,286,1,8,202,6,0,5
32,286,2,3,34,12,2,18
32,286,3,6,154,10,0,24
32,286,4,6,55,5,1,37
32,286,5,4,154,17,1,43
32,286,6,6,88,10,0,49
32,286,7,3,110,17,1,58
32,286,8,4,203,13,2,65
32,286,9,11,165,10,5,71
32,286,10,2,122,2,3,82
32,286,11,3,124,11,3,93
32,286,12,9,112,13,3,104
32,286,13,8,80,0,5,109
32,286,14,8,67,15,0,118
32,286,15,7,182,17,5,131
33,404,1,11,192,19,4,9
33,404,2,13,120,13,1,23
33,404,3,10,267,5,3,28
33,404,4,10,238,2,4,38
33,404,5,12,146,0,3,49
33,404,6,12,177,10,2,61
33,404,7,12,149,4,0,75
33,404,8,7,227,19,5,82
33,404,9,9,169,2,1,96
33,404,10,7,170,15,2,102
33,404,11,11,215,1,4,115
33,404,12,7,116,19,2,126
33,404,13,14,274,5,0,137
33,404,14,10,191,11,3,146
33,404,15,8,181,19,4,152
34,407,1,6,163,16,0,6
34,407,2,8,224,9,2,17
34,407,3,7,155,2,4,23
34,407,4,3,197,0,5,31
34,407,5,3,179,3,2,41
34,407,6,8,74,5,2,47
34,407,7,4,191,13,0,57
34,407,8,3,88,2,3,67
34,407,9,3,197,10,3,81
34,407,10,4,158,10,5,95
34,407,11,2,116,14,0,104
34,407,12,5,126,6,0,112
34,407,13,7,189,15,2,124
34,407,14,5,203,4,0,129
34,407,15,8,139,18,1,138
35,30,1,8,85,7,4,5
35,30,2,8,110,15,2,10
35,30,3,3,179,12,2,24
35,30,4,8,126,10,5,36
35,30,5,2,129,7,1,45
35,30,6,8,126,3,3,52
35,30,7,5,82,5,1,66
35,30,8,8,214,13,4,78
35,30,9,4,170,9,4,92
35,30,10,6,169,7,4,99
35,30,11,6,93,13,3,113
35,30,12,7,67,2,2,120
35,30,13,1,48,15,2,130
35,30,14,4,193,8,0,140
35,30,15,7,190,6,1,149
36,125,1,6,171,3,4,5
36,125,2,12,188,13,2,15
36,125,3,9,162,8,3,26
36,125,4,10,201,11,5,38
36,125,5,7,195,20,4,45
36,125,6,11,125,18,4,55
36,125,7,9,152,8,1,65
36,125,8,8,122,7,2,75
36,125,9,10,224,0,2,89
36,125,10,11,181,18,2,99
36,125,11,5,223,3,0,111
36,125,12,10,183,15,3,125
36,125,13,10,160,2,5,133
36,125,14,11,171,10,3,145
36,125,15,10,118,11,0,159
37,44,1,13,149,0,5,8
37,44,2,12,288,9,2,14
37,44,3,14,135,12,2,26
37,44,4,8,221,1,5,37
37,44,5,11,269,18,1,47
37,44,6,8,190,18,0,57
37,44,7,8,149,7,2,69
37,44,8,9,244,13,1,79
37,44,9,7,287,18,5,87
37,44,10,12,234,3,2,92
37,44,11,10,232,9,1,103
37,44,12,6,313,17,1,115
37,44,13,10,263,7,1,126
37,44,14,12,208,16,1,139
37,44,15,5,134,18,5,146
38,98,1,6,167,1,1,14
38,98,2,5,188,11,1,24
38,98,3,5,80,6,4,33
38,98,4,5,60,9,4,47
38,98,5,6,149,13,2,54
38,98,6,7,199,14,0,63
38,98,7,10,169,16,1,76
38,98,8,6,142,1,2,82
38,98,9,7,147,1,3,96
38,98,10,6,97,17,1,107
38,98,11,8,122,1,1,113
38,98,12,4,209,15,1,118
38,98,13,9,190,10,1,126
38,98,14,8,198,18,5,135
38,98,15,8,110,11,3,145
39,334,1,3,105,17,5,5
39,334,2,8,148,4,2,16
39,334,3,8,88,2,2,28
39,334,4,8,222,9,0,34
39,334,5,3,87,2,5,41
39,334,6,8,200,11,2,50
39,334,7,8,108,20,5,55
39,334,8,8,158,8,5,68
39,334,9,5,142,2,5,82
39,334,10,6,84,14,1,87
39,334,11,5,89,4,0,101
39,334,12,6,180,20,2,106
39,334,13,6,99,15,2,115
39,334,14,5,189,1,0,128
39,334,15,8,174,4,0,135
40,106,1,4,66,13,5,10
40,106,2,4,171,9,4,24
40,106,3,9,118,12,2,34
40,106,4,5,132,1,5,40
40,106,5,8,160,9,1,46
40,106,6,8,50,12,2,51
40,106,7,5,73,10,2,65
40,106,8,5,90,15,1,70
40,106,9,3,89,13,2,76
40,106,10,8,193,14,0,86
40,106,11,6,221,15,2,93
40,106,12,5,102,10,5,103
40,106,13,6,76,18,4,116
40,106,14,3,189,4,3,124
40,106,15,3,54,2,5,138
41,337,1,8,150,3,4,10
41,337,2,8,175,16,1,22
41,337,3,5,201,7,5,28
41,337,4,6,218,2,1,40
41,337,5,6,192,0,5,49
41,337,6,3,94,20,0,61
41,337,7,6,191,10,5,73
41,337,8,5,171,0,4,78
41,337,9,6,203,20,2,87
41,337,10,3,141,0,2,95
41,337,11,8,84,8,4,107
41,337,12,6,84,12,5,117
41,337,13,8,175,4,3,128
41,337,14,7,155,12,2,139
41,337,15,8,188,17,4,144
42,41,1,7,201,17,1,8
42,41,2,6,193,9,1,13
42,41,3,11,175,0,4,27
42,41,4,12,116,9,1,37
42,41,5,6,190,17,3,49
42,41,6,8,234,19,2,57
42,41,7,11,92,13,5,65
42,41,8,6,193,6,3,77
42,41,9,11,152,6,4,87
42,41,10,11,164,11,0,98
42,41,11,6,233,16,5,105
42,41,12,5,176,6,2,115
42,41,13,7,186,20,3,122
42,41,14,9,229,11,0,135
42,41,15,11,195,9,0,144
43,268,1,8,199,1,3,6
43,268,2,9,201,2,0,12
43,268,3,7,87,16,3,20
43,268,4,8,186,19,5,34
43,268,5,8,168,6,4,39
43,268,6,6,186,3,5,50
43,268,7,10,106,4,0,58
43,268,8,7,221,18,0,65
43,268,9,9,224,19,2,79
43,268,10,12,248,19,3,93
43,268,11,7,205,4,5,98
43,268,12,9,189,4,2,105
43,268,13,11,131,5,2,115
43,268,14,10,211,20,0,129
43,268,15,6,138,18,5,134
44,326,1,6,58,10,4,13
44,326,2,3,32,16,4,27
44,326,3,5,48,15,5,39
44,326,4,8,93,13,0,53
44,326,5,7,75,6,4,64
44,326,6,5,149,16,2,69
44,326,7,3,55,15,3,82
44,326,8,4,212,14,5,93
44,326,9,9,69,16,5,101
44,326,10,9,134,20,2,112
44,326,11,7,142,4,2,118
44,326,12,7,73,3,1,125
44,326,13,6,68,4,5,133
44,326,14,3,199,13,3,146
44,326,15,6,248,1,3,159
45,333,1,7,113,15,3,13
45,333,2,6,188,6,5,19
45,333,3,4,191,7,1,33
45,333,4,5,192,11,0,47
45,333,5,10,96,7,0,56
45,333,6,3,173,15,0,66
45,333,7,9,104,17,4,80
45,333,8,6,86,15,5,85
45,333,9,11,105,13,1,97
45,333,10,3,129,2,3,111
45,333,11,4,182,3,4,124
45,333,12,9,165,17,5,137
45,333,13,12,136,5,0,151
45,333,14,6,181,1,3,160
45,333,15,6,90,17,3,167
46,236,1,11,77,1,0,12
46,236,2,9,140,2,4,21
46,236,3,9,195,0,2,33
46,236,4,6,180,13,3,42
46,236,5,6,104,16,3,50
46,236,6,7,227,10,1,61
46,236,7,5,146,1,1,66
46,236,8,8,139,19,4,71
46,236,9,6,147,3,5,83
46,236,10,6,91,19,0,90
46,236,11,4,155,2,3,99
46,236,12,10,181,0,3,110
46,236,13,5,173,20,2,119
46,236,14,7,144,19,0,132
46,236,15,7,138,9,5,145
47,147,1,8,220,20,1,5
47,147,2,10,179,15,2,19
47,147,3,7,238,7,3,32
47,147,4,9,135,7,1,45
47,147,5,11,159,7,3,54
47,147,6,9,130,9,1,62
47,147,7,7,166,14,2,74
47,147,8,9,156,11,4,80
47,147,9,10,121,6,1,92
47,147,10,8,124,4,5,99
47,147,11,7,270,5,3,110
47,147,12,9,231,11,0,123
47,147,13,10,130,10,4,128
47,147,14,6,247,11,1,133
47,147,15,4,133,12,3,143
48,62,1,11,271,1,2,13
48,62,2,12,179,16,3,19
48,62,3,8,225,8,3,32
48,62,4,9,206,12,1,40
48,62,5,13,116,6,1,52
48,62,6,9,260,5,2,58
48,62,7,9,234,5,0,69
48,62,8,7,238,19,2,82
48,62,9,9,257,18,1,91
48,62,10,10,232,0,0,100
48,62,11,10,158,16,5,112
48,62,12,12,224,20,2,117
48,62,13,12,247,4,0,122
48,62,14,10,188,6,2,130
48,62,15,9,222,4,1,135
49,343,1,10,190,0,4,8
49,343,2,6,174,2,4,20
49,343,3,3,121,2,1,34
49,343,4,5,152,13,3,39
49,343,5,8,203,5,2,50
49,343,6,7,102,6,5,64
49,343,7,3,65,8,1,72
49,343,8,6,94,6,0,85
49,343,9,9,161,17,5,93
49,343,10,6,175,18,0,100
49,343,11,7,40,18,0,108
49,343,12,6,84,12,2,120
49,343,13,3,144,20,5,130
49,343,14,10,104,4,0,135
49,343,15,6,61,13,5,142
50,344,1,12,257,6,0,6
50,344,2,6,184,17,2,12
50,344,3,8,219,20,4,25
50,344,4,9,139,5,2,30
50,344,5,8,223,11,0,41
50,344,6,8,230,13,5,51
50,344,7,8,257,10,4,64
50,344,8,7,229,19,1,69
50,344,9,14,185,15,4,81
50,344,10,12,237,7,2,88
50,344,11,9,315,8,5,94
50,344,12,8,170,20,0,104
50,344,13,7,248,14,5,112
50,344,14,4,237,4,0,118
50,344,15,7,214,10,4,128
51,496,1,5,94,4,0,5
51,496,2,6,62,11,0,19
51,496,3,5,118,9,4,33
51,496,4,4,181,9,3,39
51,496,5,8,251,4,0,53
51,496,6,9,45,9,4,60
51,496,7,9,203,11,4,72
51,496,8,7,103,8,4,79
51,496,9,7,67,1,2,84
51,496,10,3,176,6,4,95
51,496,11,8,234,2,3,102
51,496,12,6,192,17,5,111
51,496,13,5,148,18,3,118
51,496,14,8,88,13,1,128
51,496,15,4,193,12,1,133
52,453,1,9,174,9,2,6
52,453,2,11,251,11,0,19
52,453,3,6,182,19,4,25
52,453,4,6,151,16,1,31
52,453,5,11,248,1,2,38
52,453,6,7,193,2,1,45
52,453,7,7,136,19,3,50
52,453,8,9,213,18,5,61
52,453,9,9,246,9,4,67
52,453,10,11,166,8,2,76
52,453,11,9,134,9,1,85
52,453,12,6,179,12,3,98
52,453,13,7,231,4,3,104
52,453,14,10,171,16,4,112
52,453,15,12,223,12,1,125
53,67,1,4,79,2,4,9
53,67,2,6,94,6,1,20
53,67,3,9,131,4,4,30
53,67,4,8,210,14,3,40
53,67,5,2,194,18,5,53
53,67,6,3,177,20,2,62
53,67,7,4,93,13,0,67
53,67,8,5,189,9,0,73
53,67,9,10,190,2,2,86
53,67,10,8,108,4,3,98
53,67,11,5,183,11,0,108
53,67,12,6,108,20,1,117
53,67,13,8,106,16,0,123
53,67,14,5,145,4,3,132
53,67,15,8,126,7,3,142
54,452,1,14,209,10,5,10
54,452,2,12,205,16,1,16
54,452,3,11,283,4,3,30
54,452,4,12,189,6,5,43
54,452,5,12,184,2,2,56
54,452,6,7,206,3,1,64
54,452,7,6,179,14,5,78
54,452,8,10,264,17,5,88
54,452,9,11,219,16,2,101
54,452,10,12,215,3,3,109
54,452,11,9,178,0,0,114
54,452,12,6,236,6,1,127
54,452,13,6,192,13,3,135
54,452,14,14,116,18,1,142
54,452,15,8,190,7,1,154
55,422,1,4,142,7,1,10
55,422,2,7,132,9,2,23
55,422,3,6,183,16,4,32
55,422,4,6,184,10,4,46
55,422,5,6,112,14,0,53
55,422,6,8,92,20,1,62
55,422,7,3,188,14,1,73
55,422,8,6,49,8,4,85
55,422,9,9,224,2,4,96
55,422,10,6,118,0,5,106
55,422,11,9,211,20,2,111
55,422,12,8,183,18,0,117
55,422,13,9,167,15,4,125
55,422,14,11,181,5,3,135
55,422,15,6,169,20,4,145
56,444,1,9,77,3,2,13
56,444,2,5,188,20,0,24
56,444,3,9,154,12,2,37
56,444,4,1,48,6,5,48
56,444,5,4,172,9,2,61
56,444,6,7,82,5,0,66
56,444,7,8,164,11,4,76
56,444,8,5,110,2,1,88
56,444,9,6,118,18,3,100
56,444,10,7,68,20,1,111
56,444,11,3,210,2,5,123
56,444,12,7,143,19,3,128
56,444,13,8,162,13,1,137
56,444,14,3,132,18,3,151
56,444,15,4,79,0,2,158
57,153,1,11,228,1,1,7
57,153,2,13,217,0,0,14
57,153,3,9,216,5,0,27
57,153,4,9,139,4,2,35
57,153,5,7,186,3,5,42
57,153,6,6,224,14,0,54
57,153,7,9,168,16,0,63
57,153,8,7,192,5,5,77
57,153,9,7,194,14,2,91
57,153,10,5,145,2,4,96
57,153,11,7,158,6,3,108
57,153,12,7,133,19,5,121
57,153,13,10,163,14,2,130
57,153,14,8,229,5,3,135
57,153,15,7,213,8,4,140
58,301,1,9,222,17,2,6
58,301,2,12,240,16,0,18
58,301,3,10,139,12,5,30
58,301,4,7,184,17,3,43
58,301,5,12,158,15,4,54
58,301,6,7,195,18,5,61
58,301,7,8,96,6,3,67
58,301,8,9,226,3,1,75
58,301,9,11,114,16,1,85
58,301,10,7,149,20,0,96
